question_id,seed,label,selected_token_count,selected_completion_tokens,selected_answer_text,any_correct_in_window,any_correct_in_full_group,sel_self_logprob_avg,sel_self_token_mean_entropy,sel_self_token_max_entropy,sel_self_token_count,sel_self_completion_tokens,sel_self_cluster_size,sel_self_cluster_weight_mass,sel_self_semantic_entropy_weighted_set,sel_self_semantic_clusters_set,sel_self_logprob_avg_z,sel_self_token_mean_entropy_z,sel_self_token_max_entropy_z,sel_self_token_count_z,sel_self_cluster_size_z,sel_self_cluster_weight_mass_z,sel_self_logprob_rank,sel_self_low_entropy_rank,sel_self_cluster_size_rank,sel_self_verifier_score_v05,sel_teacher_teacher_best_similarity,sel_teacher_teacher_best_basin_mass,sel_teacher_teacher_best_basin_strict_any,sel_teacher_teacher_support_mass,sel_teacher_teacher_correct_support_mass,sel_teacher_qwen_only_stable_mass,sel_teacher_anchor_score_noleak,win_self_logprob_avg_mean,win_self_logprob_avg_min,win_self_logprob_avg_max,win_self_logprob_avg_std,win_self_token_mean_entropy_mean,win_self_token_mean_entropy_min,win_self_token_mean_entropy_max,win_self_token_mean_entropy_std,win_self_token_max_entropy_mean,win_self_token_max_entropy_min,win_self_token_max_entropy_max,win_self_token_max_entropy_std,win_self_token_count_mean,win_self_token_count_min,win_self_token_count_max,win_self_token_count_std,win_self_completion_tokens_mean,win_self_completion_tokens_min,win_self_completion_tokens_max,win_self_completion_tokens_std,win_self_cluster_size_mean,win_self_cluster_size_min,win_self_cluster_size_max,win_self_cluster_size_std,win_self_cluster_weight_mass_mean,win_self_cluster_weight_mass_min,win_self_cluster_weight_mass_max,win_self_cluster_weight_mass_std,win_self_semantic_entropy_weighted_set_mean,win_self_semantic_entropy_weighted_set_min,win_self_semantic_entropy_weighted_set_max,win_self_semantic_entropy_weighted_set_std,win_self_semantic_clusters_set_mean,win_self_semantic_clusters_set_min,win_self_semantic_clusters_set_max,win_self_semantic_clusters_set_std,win_self_logprob_avg_z_mean,win_self_logprob_avg_z_min,win_self_logprob_avg_z_max,win_self_logprob_avg_z_std,win_self_token_mean_entropy_z_mean,win_self_token_mean_entropy_z_min,win_self_token_mean_entropy_z_max,win_self_token_mean_entropy_z_std,win_self_token_max_entropy_z_mean,win_self_token_max_entropy_z_min,win_self_token_max_entropy_z_max,win_self_token_max_entropy_z_std,win_self_token_count_z_mean,win_self_token_count_z_min,win_self_token_count_z_max,win_self_token_count_z_std,win_self_cluster_size_z_mean,win_self_cluster_size_z_min,win_self_cluster_size_z_max,win_self_cluster_size_z_std,win_self_cluster_weight_mass_z_mean,win_self_cluster_weight_mass_z_min,win_self_cluster_weight_mass_z_max,win_self_cluster_weight_mass_z_std,win_self_logprob_rank_mean,win_self_logprob_rank_min,win_self_logprob_rank_max,win_self_logprob_rank_std,win_self_low_entropy_rank_mean,win_self_low_entropy_rank_min,win_self_low_entropy_rank_max,win_self_low_entropy_rank_std,win_self_cluster_size_rank_mean,win_self_cluster_size_rank_min,win_self_cluster_size_rank_max,win_self_cluster_size_rank_std,win_self_verifier_score_v05_mean,win_self_verifier_score_v05_min,win_self_verifier_score_v05_max,win_self_verifier_score_v05_std,win_teacher_teacher_best_similarity_mean,win_teacher_teacher_best_similarity_min,win_teacher_teacher_best_similarity_max,win_teacher_teacher_best_similarity_std,win_teacher_teacher_best_basin_mass_mean,win_teacher_teacher_best_basin_mass_min,win_teacher_teacher_best_basin_mass_max,win_teacher_teacher_best_basin_mass_std,win_teacher_teacher_best_basin_strict_any_mean,win_teacher_teacher_best_basin_strict_any_min,win_teacher_teacher_best_basin_strict_any_max,win_teacher_teacher_best_basin_strict_any_std,win_teacher_teacher_support_mass_mean,win_teacher_teacher_support_mass_min,win_teacher_teacher_support_mass_max,win_teacher_teacher_support_mass_std,win_teacher_teacher_correct_support_mass_mean,win_teacher_teacher_correct_support_mass_min,win_teacher_teacher_correct_support_mass_max,win_teacher_teacher_correct_support_mass_std,win_teacher_qwen_only_stable_mass_mean,win_teacher_qwen_only_stable_mass_min,win_teacher_qwen_only_stable_mass_max,win_teacher_qwen_only_stable_mass_std,win_teacher_anchor_score_noleak_mean,win_teacher_anchor_score_noleak_min,win_teacher_anchor_score_noleak_max,win_teacher_anchor_score_noleak_std,group_size,group_num_basins,group_top1_basin_share,group_top2_basin_share,group_top1_minus_top2,group_basin_entropy
trivia_qa_164,42,1.0,24.0,24.0,"In La Cage Aux Folles, La Cage Aux Folles is a French nightclub and the setting of the story.",1.0,1.0,-0.4441578006328655,0.7837375492568981,4.12827205657959,24.0,24.0,8.0,1.0,0.0,1.0,0.0815089336215968,0.1978872318161977,-0.2245354510029121,-0.170668771486133,0.0,0.0,4.0,5.0,1.0,0.0107506301287484,0.5294117647058824,0.25,0.0,0.0,0.0,1.0,-0.0919675210330738,-0.4515858387107885,-0.565284205631366,-0.3095274961509685,0.08524578935275956,0.7568842334879777,0.5340649558630833,0.934264263644861,0.12693581387741934,4.314689636230469,3.777770757675171,6.199270248413086,0.7766153527312979,24.625,21.0,31.0,3.42554740151118,24.625,21.0,31.0,3.42554740151118,8.0,8.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.949029909160572e-17,-1.2476285857711442,1.5588266905249992,0.9354143466934854,2.7755575615628914e-16,-1.6419979723884863,1.3071474468655695,0.9354143466934854,2.7755575615628914e-17,-0.6467057601228932,2.2699316153564983,0.9354143466934854,-2.7755575615628914e-17,-0.9898788746195716,1.7408214691585566,0.9354143466934854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,-5.551115123125783e-17,-0.902930742577548,0.8140777956181665,0.5108045696889516,0.3889689984523705,0.3333333333333333,0.5294117647058824,0.05627495933615616,0.25,0.25,0.25,0.0,0.375,0.0,1.0,0.4841229182759271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.12220620030952588,-0.3116206312741303,0.040234913962343,0.10333096936830287,8.0,8.0,0.125,0.125,0.0,2.079441541671836
trivia_qa_164,43,0.0,27.0,27.0,"In ""La Cage Aux Folles,"" La Cage Aux Folles is a café and drag club owned by Jacques and Albin.",1.0,1.0,-0.4576489548703711,0.7503082781821057,3.777770757675171,27.0,27.0,8.0,1.0,1.1102230246251563e-16,1.0,0.1177852634772257,-0.1011454792675806,-0.693832263222367,0.4890974155477661,0.0,0.0,4.0,4.0,1.0,0.0861040258765033,0.3846153846153846,0.25,1.0,0.0,0.0,1.0,-0.1058561179016223,-0.46980488795867037,-0.5899101946159208,-0.3095274961509685,0.09653868296045186,0.7643678210968377,0.5340649558630833,0.934264263644861,0.1300255656073428,4.35180926322937,3.777770757675171,6.199270248413086,0.7739101827811571,25.125,21.0,31.0,3.585997071945263,25.125,21.0,31.0,3.585997071945263,8.0,8.0,8.0,0.0,1.0,1.0,1.0,0.0,1.1102230246251563e-16,1.1102230246251563e-16,1.1102230246251563e-16,0.0,1.0,1.0,1.0,0.0,1.8041124150158794e-16,-1.1637638251936508,1.5530124003137278,0.9354143466934854,3.0531133177191805e-16,-1.6568172821861142,1.2222486329460114,0.9354143466934852,-5.551115123125783e-17,-0.693832263222367,2.23300009348243,0.9354143466934853,0.0,-1.0760143142050855,1.5325052353830009,0.9354143466934853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,0.0,-0.76726787370432,0.8272777493040603,0.5192418228971822,0.365649670721278,0.3333333333333333,0.3870967741935484,0.020575387764098185,0.25,0.25,0.25,0.0,0.375,0.0,1.0,0.4841229182759271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.12687006585574434,-0.2844880574994847,0.0428749046995217,0.10504452905246087,8.0,8.0,0.125,0.125,0.0,2.079441541671836
trivia_qa_383,42,0.0,27.0,27.0,"George Cornell was shot in the Humming Bird Café, which was located on Bethnal Green Road in the East End of London.",0.0,0.0,-0.5355923483153143,0.8887967730691633,5.897194862365723,27.0,27.0,1.0,0.1277296412550205,2.0705728162028194,8.0,0.2117447346660283,-0.2307965108513934,-0.3535533905932738,0.967960176171968,0.0,0.1540623755944782,4.0,5.0,1.0,0.1726076623603607,0.08,1.0,1.0,0.0,0.0,0.1277296412550205,0.024975604221068,-0.5662052981783354,-0.7803521301859643,-0.3455298781901535,0.13523732971043528,0.9153160672278227,0.8113041433175445,1.169002905374977,0.10748224974755924,5.9673232436180115,5.897194862365723,6.458221912384033,0.1855422566410806,21.5,11.0,28.0,5.315072906367325,21.5,11.0,28.0,5.315072906367325,1.0,1.0,1.0,0.0,0.12499999999999997,0.0999985884672038,0.1544666665471329,0.016573453326420958,2.0705728162028194,2.0705728162028194,2.0705728162028194,0.0,8.0,8.0,8.0,0.0,1.1102230246251565e-16,-1.481218383916662,1.5263755522350242,0.9354143466934853,3.885780586188048e-16,-0.9052122195188302,2.2078278834644998,0.9354143466934854,-2.7755575615628914e-17,-0.3535533905932738,2.4748737341529163,0.9354143466934853,-1.3877787807814457e-17,-1.847923972691939,1.143952935475962,0.9354143466934854,0.0,0.0,0.0,0.0,2.7755575615628914e-16,-1.4110927019707524,1.663114023043108,0.9354143466934852,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,0.036720827925829036,-1.5574857734342815,1.1692733930774817,0.7675455628211536,0.10470243169731659,0.08,0.1666666666666666,0.026681512960402016,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0999985884672038,0.1544666665471329,0.016573453326420958,0.003284651924629102,-0.3144316598338862,0.2251835675282919,0.15020318921512882,8.0,8.0,0.125,0.125,0.0,2.079441541671836
trivia_qa_383,43,0.0,19.0,19.0,"George Cornell was shot in the Black Horse public house in Bethnal Green, East London.",0.0,0.0,-0.3455298781901535,0.873283319502087,5.897194862365723,19.0,19.0,1.0,0.1578281685837642,2.069158760190807,8.0,1.589427644695987,-0.5337274480405528,-0.3535533905932738,-0.4399818982599854,0.0,1.7076073530582805,1.0,4.0,1.0,1.2388501288710172,0.1111111111111111,1.0,1.0,0.0,0.0,0.1578281685837642,0.2384266142796728,-0.5890074938319486,-0.7803521301859643,-0.3455298781901535,0.14329211872593292,0.9517483738346759,0.8113041433175445,1.180255225923988,0.1375183865964684,5.9673232436180115,5.897194862365723,6.458221912384033,0.1855422566410806,21.5,11.0,28.0,5.315072906367325,21.5,11.0,28.0,5.315072906367325,1.0,1.0,1.0,0.0,0.12499999999999997,0.1021747567390179,0.1578281685837642,0.017983021573389404,2.069158760190807,2.069158760190807,2.069158760190807,0.0,8.0,8.0,8.0,0.0,8.326672684688674e-17,-1.2491023204893208,1.589427644695987,0.9354143466934853,6.661338147750939e-16,-0.955316240886041,1.554327337982296,0.9354143466934853,-2.7755575615628914e-17,-0.3535533905932738,2.4748737341529163,0.9354143466934853,0.0,-1.847923972691939,1.143952935475962,0.9354143466934853,0.0,0.0,0.0,0.0,2.7755575615628914e-17,-1.1872899070913598,1.7076073530582805,0.9354143466934854,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,0.03281055734682578,-1.2634502281881224,1.2388501288710172,0.7815656823923867,0.1043178163127012,0.0769230769230769,0.1666666666666666,0.027054399038808425,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.1021747567390179,0.1578281685837642,0.017983021573389404,0.002425674731905393,-0.2560668808455046,0.2384266142796728,0.15371925434070308,8.0,8.0,0.125,0.125,0.0,2.079441541671836
trivia_qa_45,42,1.0,29.0,29.0,"The Shining Path (Sendero Luminoso) terrorists operated primarily in Peru, particularly in the country's rural and mountainous regions.",1.0,1.0,-0.1299779085409541,0.3011463264896018,1.1458065509796145,29.0,29.0,6.0,0.7604348899200578,0.5505781207261724,2.0,0.6819885173733063,-0.3113239621658416,-0.3535533905932738,0.0,0.5400617248673217,0.5400617248673215,1.0,3.0,1.0,0.6910365584303337,0.95,0.75,1.0,0.75,0.75,0.1901087224800144,0.6651855671900637,-0.16190951372884044,-0.2376981445883856,-0.1299779085409541,0.04379733799733641,0.31298614482731685,0.292376680959697,0.4068065354416319,0.035574312553055425,1.1772056370973587,1.1458065509796145,1.3969992399215698,0.08307417326225228,29.0,27.0,32.0,1.3228756555322954,29.0,27.0,32.0,1.3228756555322954,5.0,2.0,6.0,1.7320508075688772,0.6302174449600288,0.2395651100799422,0.7604348899200578,0.2255432307025739,0.5505781207261724,0.5505781207261724,0.5505781207261724,0.0,2.0,2.0,2.0,0.0,-8.326672684688674e-17,-1.6186776608794506,0.6819885173733063,0.9354143466934854,4.996003610813204e-16,-0.5419187834109469,2.466974991073425,0.9354143466934852,-2.7755575615628914e-17,-0.3535533905932738,2.4748737341529163,0.9354143466934853,0.0,-1.414213562373095,2.1213203435596424,0.9354143466934852,5.551115123125783e-17,-1.620185174601965,0.5400617248673217,0.9354143466934853,-1.6653345369377348e-16,-1.620185174601965,0.5400617248673215,0.9354143466934852,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,0.11999999999999977,-1.0099557789164613,0.6910365584303337,0.7433270895698384,0.95,0.95,0.95,0.0,0.75,0.75,0.75,0.0,1.0,1.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.0,0.15755436124000716,0.0598912775199855,0.1901087224800144,0.056385807675643475,0.5574891277519984,0.3249870997207048,0.6651855671900637,0.14135782369373454,8.0,4.0,0.625,0.125,0.5,1.0735428464045231
trivia_qa_45,43,1.0,29.0,29.0,"The Shining Path (Sendero Luminoso) terrorists operated primarily in Peru, particularly in the country's rural and mountainous regions.",1.0,1.0,-0.1299779085409541,0.3011463264896018,1.1458065509796145,29.0,29.0,6.0,0.7604348899200578,0.5505781207261724,2.0,0.6819885173733058,-0.3113239621658401,-0.3535533905932738,0.0,0.5400617248673217,0.5400617248673215,1.0,3.0,2.0,0.6910365584303331,0.95,0.75,1.0,0.75,0.75,0.1901087224800144,0.6651855671900636,-0.16190951372884044,-0.2376981445883856,-0.1299779085409541,0.04379733799733641,0.31298614482731685,0.292376680959697,0.4068065354416319,0.035574312553055425,1.1772056370973587,1.1458065509796145,1.3969992399215698,0.08307417326225228,29.0,27.0,32.0,1.3228756555322954,29.0,27.0,32.0,1.3228756555322954,5.0,2.0,6.0,1.7320508075688772,0.6302174449600288,0.2395651100799422,0.7604348899200578,0.2255432307025739,0.5505781207261724,0.5505781207261724,0.5505781207261724,0.0,2.0,2.0,2.0,0.0,-6.38378239159465e-16,-1.6186776608794513,0.6819885173733058,0.9354143466934853,1.9984014443252818e-15,-0.5419187834109455,2.466974991073427,0.9354143466934853,-2.7755575615628914e-17,-0.3535533905932738,2.4748737341529163,0.9354143466934853,0.0,-1.414213562373095,2.1213203435596424,0.9354143466934852,5.551115123125783e-17,-1.620185174601965,0.5400617248673217,0.9354143466934853,-1.6653345369377348e-16,-1.620185174601965,0.5400617248673215,0.9354143466934852,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,0.11999999999999919,-1.0099557789164617,0.6910365584303331,0.7433270895698384,0.95,0.95,0.95,0.0,0.75,0.75,0.75,0.0,1.0,1.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.0,0.15755436124000716,0.0598912775199855,0.1901087224800144,0.056385807675643475,0.5574891277519982,0.3249870997207047,0.6651855671900636,0.1413578236937345,8.0,4.0,0.625,0.125,0.5,1.0735428464045231
trivia_qa_156,42,0.0,16.0,16.0,Cindy Crawford named her first son after the rock star Mick Jagger.,1.0,1.0,-0.1107212266297992,0.2887472649189249,3.3790535926818848,16.0,16.0,2.0,0.2747099898932089,1.7078096387256356,6.0,1.0039936857706315,-0.6744723325079994,-0.3535533905932738,-0.2844843315028305,0.9354143466934852,1.0464027667548326,1.0,1.0,1.0,1.0802577200305652,0.0,0.0,0.0,0.0,0.0,0.2747099898932089,0.1611095460274712,-0.2090629123469373,-0.39865202524373,-0.1107212266297992,0.09162430501465178,0.36558143519005615,0.2887472649189249,0.6378516511183816,0.10656001992054123,3.654434621334076,3.3790535926818848,5.582101821899414,0.7285897175988504,18.375,15.0,39.0,7.809249323718638,18.375,15.0,39.0,7.809249323718638,1.5,1.0,2.0,0.5,0.19130203015835656,0.102990626560665,0.2747099898932089,0.07456115813452677,1.7078096387256356,1.7078096387256356,1.7078096387256356,0.0,6.0,6.0,6.0,0.0,2.7755575615628914e-16,-1.9355603969076915,1.0039936857706315,0.9354143466934853,-2.498001805406602e-16,-0.6744723325079994,2.390065864726756,0.9354143466934853,-2.7755575615628914e-17,-0.3535533905932738,2.4748737341529163,0.9354143466934853,0.0,-0.4042672079250748,2.470521826208791,0.9354143466934853,0.0,-0.9354143466934852,0.9354143466934852,0.9354143466934852,-1.1102230246251565e-16,-1.1079194042677627,1.0464027667548326,0.9354143466934853,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,0.08114219940434886,-1.9138821803533,1.0802577200305652,0.9474921052214568,0.11875,0.0,0.95,0.3141829681889201,0.125,0.0,1.0,0.33071891388307384,0.125,0.0,1.0,0.33071891388307384,0.125,0.0,1.0,0.33071891388307384,0.125,0.0,1.0,0.33071891388307384,0.1748914969595961,0.0,0.2747099898932089,0.09702758647601879,0.06750014048895053,-0.403374561382793,0.6914546791624099,0.2945836185783735,8.0,6.0,0.25,0.25,0.0,1.7328679513938632
trivia_qa_156,43,0.0,15.0,15.0,Cindy Crawford named her first son after the rock star Keith Richards.,1.0,1.0,-0.1824078555501046,0.3604869153921754,3.3790535926818848,15.0,15.0,3.0,0.3872388701771951,1.65061281715383,6.0,0.3927743915399441,-0.1281243001158759,-0.3535533905932738,-0.3870693672140189,1.20761472884912,1.204183008690931,3.0,5.0,1.0,0.8474685944939329,0.0,0.0,0.0,0.0,0.0,0.3872388701771951,0.0920459448633475,-0.21802374096197547,-0.39865202524373,-0.1107212266297992,0.08482123810016044,0.37454889149921244,0.2887472649189249,0.6378516511183816,0.10266416426460229,3.654434621334076,3.3790535926818848,5.582101821899414,0.7285897175988504,18.25,15.0,39.0,7.854139036202504,18.25,15.0,39.0,7.854139036202504,1.75,1.0,3.0,0.9682458365518543,0.22180971754429873,0.1039786177927446,0.3872388701771951,0.12850605067279675,1.65061281715383,1.65061281715383,1.65061281715383,0.0,6.0,6.0,6.0,0.0,1.6653345369377348e-16,-1.9919809274213247,1.1833393804518302,0.9354143466934854,-2.7755575615628914e-17,-0.7817730076288276,2.3990569702292706,0.9354143466934853,-2.7755575615628914e-17,-0.3535533905932738,2.4748737341529163,0.9354143466934853,5.551115123125783e-17,-0.3870693672140189,2.471289036827967,0.9354143466934854,-1.3877787807814457e-17,-0.724568837309472,1.20761472884912,0.9354143466934853,0.0,-0.8577098169090918,1.204183008690931,0.9354143466934853,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,0.06327854120291607,-1.838600680378857,0.8474685944939329,0.8584494253423309,0.11875,0.0,0.95,0.3141829681889201,0.125,0.0,1.0,0.33071891388307384,0.125,0.0,1.0,0.33071891388307384,0.125,0.0,1.0,0.33071891388307384,0.125,0.0,1.0,0.33071891388307384,0.2052417577577451,0.0,0.3872388701771951,0.1462641391360206,0.05785735668903416,-0.3885158596343203,0.7145217338021561,0.2914507385214195,8.0,6.0,0.375,0.125,0.25,1.6674619334232947
trivia_qa_53,42,0.0,43.0,43.0,"According to Rudyard Kipling's poem ""The White Man's Burden,"" the ""two imposters"" are Sybarite and Boche, representing the decadent and militaristic attitudes, respectively.",0.0,0.0,-0.3593168088035964,0.6270571747618497,5.963356971740723,43.0,43.0,1.0,0.1135578276671754,1.930695199690881,7.0,-0.4379639162490433,0.8336034792606327,2.080366111085729,-0.2333080588920159,-0.5400617248673217,-1.1160561288156106,7.0,7.0,3.0,-0.85327514704282,0.0689655172413793,0.5,0.0,0.0,0.0,0.1135578276671754,-0.1795734914937232,-0.27753661741112684,-0.6741938019007522,-0.1030001777064786,0.1746681894687304,0.42053198414115256,0.2254971451088145,0.9276721507179284,0.23174882431099555,3.293376713991165,2.3370933532714844,5.963356971740723,1.2005280345505422,46.625,37.0,84.0,14.533904327468239,46.625,37.0,84.0,14.533904327468239,1.25,1.0,2.0,0.4330127018922193,0.14996259716467408,0.1135578276671754,0.1997007773173929,0.030512393415345694,1.930695199690881,1.930695199690881,1.930695199690881,0.0,7.0,7.0,7.0,0.0,0.0,-2.1242495397655943,0.934708776779062,0.9354143466934852,5.551115123125783e-17,-0.7872246475394419,2.046984225317308,0.9354143466934853,-5.551115123125783e-17,-0.7451064443125184,2.080366111085729,0.9354143466934852,0.0,-0.6194731218856974,2.4054865382314743,0.9354143466934854,-5.551115123125783e-17,-0.5400617248673217,1.620185174601965,0.9354143466934853,-4.996003610813204e-16,-1.1160561288156106,1.5248167084093438,0.9354143466934854,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,0.05380870485194164,-0.85327514704282,0.6469680648717998,0.5031157608359601,0.06185101158433541,0.0307692307692307,0.0869565217391304,0.015470826604266758,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14996259716467408,0.1135578276671754,0.1997007773173929,0.030512393415345694,-0.006860576145679385,-0.1795734914937232,0.0989772670346909,0.09960195090028916,8.0,4.0,0.625,0.125,0.5,1.0735428464045231
trivia_qa_53,43,0.0,43.0,43.0,"According to Rudyard Kipling's poem ""The White Man's Burden,"" the ""two imposters"" are Sybarite and Boche, representing the decadent and militaristic attitudes, respectively.",0.0,0.0,-0.3593168088035964,0.6270571747618497,5.963356971740723,43.0,43.0,1.0,0.1107165713423631,2.0736235789983284,8.0,-0.99801855327341,1.4710336562737014,2.1765135796172608,0.2801577628641106,0.0,-0.9915520878799492,7.0,8.0,1.0,-1.1010592579138532,0.0689655172413793,0.5,0.0,0.0,0.0,0.1107165713423631,-0.2285620624029674,-0.24381941890819836,-0.4044562138773243,-0.1030001777064786,0.10825241190101322,0.3808951284480313,0.2254971451088145,0.6270571747618497,0.15653177529374554,3.2403876781463623,2.3370933532714844,5.963356971740723,1.170268160367691,41.875,37.0,49.0,3.75624480032918,41.875,37.0,49.0,3.75624480032918,1.0,1.0,1.0,0.0,0.12499999999999997,0.1058300091318821,0.1430637243129273,0.01347475765483348,2.0736235789983284,2.0736235789983284,2.0736235789983284,0.0,8.0,8.0,8.0,0.0,-4.163336342344337e-17,-1.3880703439511437,1.2168258997409565,0.9354143466934854,-1.5265566588595902e-16,-0.9286389475233068,1.4710336562737014,0.9354143466934854,-4.163336342344337e-17,-0.7220178241107469,2.1765135796172608,0.9354143466934853,-2.7755575615628914e-17,-1.2140169724111465,1.7743324981393676,0.9354143466934854,0.0,0.0,0.0,0.0,-1.1102230246251565e-15,-1.3307760290284911,1.253979278133217,0.9354143466934853,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,4.5,1.0,8.0,2.29128784747792,0.04118845680567852,-1.211823197162583,1.1255180038175578,0.8815074243608068,0.066933429166753,0.0476190476190476,0.0869565217391304,0.010208921420928094,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.1058300091318821,0.1430637243129273,0.01347475765483348,-0.0033756228055137026,-0.2492449269731787,0.2093940817073777,0.17370779600217912,8.0,5.0,0.5,0.125,0.375,1.3862943611148906
