feature,is_banned_as_feature,status,used_as_predictor
answer_preview,0.0,ok,0.0
basin_correct_rate,1.0,ok,0.0
basin_regime,1.0,ok,0.0
centroid_entropy_z,0.0,ok,1.0
centroid_len_z,0.0,ok,1.0
centroid_logprob_z,0.0,ok,1.0
centroid_max_entropy_z,0.0,ok,1.0
cluster_id,0.0,ok,0.0
cluster_size,0.0,ok,1.0
cluster_weight_mass,0.0,ok,1.0
contains_sample0,0.0,ok,0.0
correct_count,1.0,ok,0.0
delta_centroid_entropy_z_vs_sample0,0.0,ok,1.0
delta_centroid_logprob_z_vs_sample0,0.0,ok,1.0
delta_cluster_weight_mass_vs_sample0,0.0,ok,1.0
delta_distance_to_sample0_entropy_logprob_vs_sample0,0.0,ok,1.0
delta_low_entropy_score_vs_sample0,0.0,ok,1.0
delta_stable_score_vs_sample0,0.0,ok,1.0
delta_wf_entropy_max_mean_vs_sample0,0.0,ok,1.0
delta_wf_entropy_roughness_vs_sample0,0.0,ok,1.0
delta_wf_prob_min_mean_vs_sample0,0.0,ok,1.0
distance_to_sample0_entropy_logprob,0.0,ok,1.0
fragmentation_entropy,0.0,ok,1.0
internal_token_entropy_std,0.0,ok,1.0
is_damage_basin,1.0,ok,0.0
is_mixed_basin,1.0,ok,0.0
is_pure_correct,1.0,ok,0.0
is_pure_wrong,1.0,ok,0.0
is_rescue_basin,1.0,ok,0.0
is_stable_correct_basin,1.0,ok,0.0
is_stable_hallucination_basin,1.0,ok,0.0
is_unstable_wrong_basin,1.0,ok,0.0
lexical_effective_dim,0.0,ok,1.0
lexical_pca_anisotropy,0.0,ok,1.0
lexical_radius,0.0,ok,1.0
logprob_avg_mean,0.0,ok,0.0
logprob_avg_std,0.0,ok,1.0
logprob_basin_rank,0.0,ok,1.0
low_entropy_basin_rank,0.0,ok,1.0
low_entropy_score,0.0,ok,1.0
normalized_fragmentation_entropy,0.0,ok,1.0
question,0.0,ok,0.0
question_id,0.0,ok,0.0
question_index,0.0,ok,0.0
representative_strict_correct,1.0,ok,0.0
sample0_cluster_id,0.0,ok,0.0
sample0_strict_correct,1.0,ok,0.0
seed,0.0,ok,0.0
semantic_clusters_set,0.0,ok,1.0
semantic_entropy_weighted_set,0.0,ok,1.0
stable_basin_rank,0.0,ok,1.0
stable_hallucination_score,1.0,ok,0.0
stable_score,0.0,ok,1.0
token_count_mean,0.0,ok,0.0
token_max_entropy_mean,0.0,ok,0.0
token_max_entropy_std,0.0,ok,0.0
token_mean_entropy_mean,0.0,ok,0.0
token_mean_entropy_std,0.0,ok,1.0
top2_logprob_margin,0.0,ok,1.0
top2_low_entropy_margin,0.0,ok,1.0
top2_weight_margin,0.0,ok,1.0
weight_basin_rank,0.0,ok,1.0
wf_basin_entropy_curve,0.0,ok,0.0
wf_basin_entropy_curve_var,0.0,ok,1.0
wf_basin_prob_curve,0.0,ok,0.0
wf_basin_prob_curve_var,0.0,ok,1.0
wf_entropy_auc_mean,0.0,ok,1.0
wf_entropy_auc_recomputed,0.0,ok,0.0
wf_entropy_auc_std,0.0,ok,0.0
wf_entropy_early_collapse_mean,0.0,ok,0.0
wf_entropy_early_collapse_std,0.0,ok,0.0
wf_entropy_early_mean_mean,0.0,ok,0.0
wf_entropy_early_mean_std,0.0,ok,0.0
wf_entropy_late_hesitation_mean,0.0,ok,0.0
wf_entropy_late_hesitation_std,0.0,ok,0.0
wf_entropy_late_mean_mean,0.0,ok,0.0
wf_entropy_late_mean_std,0.0,ok,0.0
wf_entropy_late_minus_early_mean,0.0,ok,1.0
wf_entropy_late_minus_early_std,0.0,ok,0.0
wf_entropy_max_mean,0.0,ok,1.0
wf_entropy_max_pos_norm_mean,0.0,ok,1.0
wf_entropy_max_pos_norm_std,0.0,ok,0.0
wf_entropy_max_std,0.0,ok,0.0
wf_entropy_mean_mean,0.0,ok,0.0
wf_entropy_mean_std,0.0,ok,0.0
wf_entropy_mid_mean_mean,0.0,ok,0.0
wf_entropy_mid_mean_std,0.0,ok,0.0
wf_entropy_roughness,0.0,ok,1.0
wf_entropy_slope_mean,0.0,ok,0.0
wf_entropy_slope_std,0.0,ok,0.0
wf_entropy_spike_count_mean,0.0,ok,1.0
wf_entropy_spike_count_std,0.0,ok,0.0
wf_entropy_spike_frac_mean,0.0,ok,1.0
wf_entropy_spike_frac_std,0.0,ok,0.0
wf_entropy_std_mean,0.0,ok,1.0
wf_entropy_std_std,0.0,ok,0.0
wf_local_instability_index,0.0,ok,1.0
wf_prob_drop,0.0,ok,1.0
wf_prob_early_mean_mean,0.0,ok,0.0
wf_prob_early_mean_std,0.0,ok,0.0
wf_prob_late_mean_mean,0.0,ok,0.0
wf_prob_late_mean_std,0.0,ok,0.0
wf_prob_mean_mean,0.0,ok,0.0
wf_prob_mean_std,0.0,ok,0.0
wf_prob_min_mean,0.0,ok,1.0
wf_prob_min_std,0.0,ok,0.0
wf_token_count_mean,0.0,ok,0.0
wf_token_count_std,0.0,ok,0.0
within_basin_jaccard,0.0,ok,1.0
within_basin_lexical_entropy,0.0,ok,1.0
wrong_count,1.0,ok,0.0
