seed,question_index,question_id,question,ideal_answers,baseline_answer_text,intervention_answer_text,answer_changed,baseline_semantic_entropy_weighted,intervention_semantic_entropy_weighted,delta_semantic_entropy_weighted,baseline_token_mean_entropy,intervention_token_mean_entropy,delta_token_mean_entropy,baseline_token_max_entropy,intervention_token_max_entropy,delta_token_max_entropy,baseline_num_generated_tokens,intervention_num_generated_tokens,delta_num_generated_tokens,baseline_elapsed_ms,intervention_elapsed_ms,delta_elapsed_ms,relative_elapsed_ms_pct,baseline_final_semantic_correct,intervention_final_semantic_correct,delta_final_semantic_correct,baseline_final_exact_match,intervention_final_exact_match,delta_final_exact_match,baseline_final_contains_match,intervention_final_contains_match,delta_final_contains_match,baseline_matched_ideal_answer,intervention_matched_ideal_answer,intervention_total_events,intervention_steps_with_events,intervention_event_density,intervention_per_site_counts
42,1,trivia_qa_104,What was the name of the brothel in The Best Little Whorehouse in Texas?,"[""Chicken Ranch"", ""Chicken Ranch (disambiguation)"", ""The Chicken Ranch"", ""chicken ranch disambiguation"", ""chicken ranch""]","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Kitty's.",1,1.6733718153077217,1.6732124049664048,-0.00015941034131694565,0.5894469233705052,0.5658378993198332,-0.023609024050672,5.958863735198975,5.957170009613037,-0.0016937255859375,23.0,21.0,-2.0,743.0,257.0,-486.0,-65.41049798115746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20.0,10.0,0.9523809523809523,"{""mlp.output|layer_18"": 10, ""mlp.output|layer_24"": 10}"
42,2,trivia_qa_123,Who's home runs record did Mark McGwire break in the 1998 season?,"[""Roger Eugene Maras"", ""Roger marris"", ""Roger Eugene Maris"", ""Roger Maris Museum"", ""Roger Maris"", ""Roger Maras"", ""Roger Maris' 61 home run season"", ""roger maris 61 home run season"", ""roger eugene maras"", ""roger eugene maris"", ""roger maris"", ""roger marris"", ""roger maris museum"", ""roger maras""]","In the 1998 season, Mark McGwire broke Roger Maris's home run record of 61, setting a new record with 70 home runs.","In the 1998 season, Mark McGwire broke Roger Maris's home run record of 61, setting a new record with 70 home runs.",0,0.0,1.1102230246251564e-16,1.1102230246251564e-16,0.18304749730318556,0.1821480625988212,-0.0008994347043643769,2.4399077892303467,2.4213106632232666,-0.018597126007080078,37.0,37.0,0.0,571.0,452.0,-119.0,-20.84063047285464,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Roger Maris,Roger Maris,30.0,15.0,0.8108108108108109,"{""mlp.output|layer_18"": 15, ""mlp.output|layer_24"": 15}"
42,3,trivia_qa_127,Where did Jonathan Edwards set his 1995 triple jump world record?,"[""Swedish sin"", ""Swea Region"", ""Sverige"", ""Swedish origin"", ""Schweden"", ""Kingdom of Sweden"", ""SWEDEN"", ""Etymology of Sweden"", ""Mainland Sweden"", ""Konungariket Sverige"", ""Ulf Bergman"", ""Swedish climate"", ""Sweden"", ""Climate of Sweden"", ""ISO 3166-1:SE"", ""Sveden"", ""Suecia"", ""Swedish realm"", ""Zweden"", ""ulf bergman"", ""swea region"", ""swedish origin"", ""swedish climate"", ""kingdom of sweden"", ""sveden"", ""suecia"", ""swedish realm"", ""zweden"", ""iso 3166 1 se"", ""mainland sweden"", ""konungariket sverige"", ""schweden"", ""sweden"", ""sverige"", ""swedish sin"", ""climate of sweden"", ""etymology of sweden""]","Jonathan Edwards set his 1995 triple jump world record at the Meeting de Picardie in Amiens, France.","Jonathan Edwards set his 1995 triple jump world record at the Meeting de Picardie in Amiens, France.",0,1.7090262799458302,1.7089292629848618,-9.701696096842127e-05,0.46167543900066343,0.4616477533252055,-2.768567545791134e-05,5.284481048583984,5.3038763999938965,0.01939535140991211,27.0,27.0,0.0,335.0,329.0,-6.0,-1.791044776119403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,18.0,9.0,0.6666666666666666,"{""mlp.output|layer_18"": 9, ""mlp.output|layer_24"": 9}"
42,4,trivia_qa_135,Which war veteran was Director of News & Special Events for ABC before find fame as a TV cop?,"[""Thomas William %22Tom%22 Selleck"", ""Thomas Selleck"", ""Thomas William Selleck"", ""Tom selleck"", ""Tom Selleck"", ""thomas william 22tom 22 selleck"", ""thomas selleck"", ""tom selleck"", ""thomas william selleck""]","Peter Falk was the TV cop who previously served as the Director of News & Special Events for ABC. He is best known for his role as Detective Max Fleckman on the TV series ""Columbo."" Falk was also a U.S. Army veteran.","Peter Falk was the TV cop who previously served as the Director of News & Special Events for ABC. He is best known for his role as Detective Max Fleckman on the TV series ""Columbo."" Falk was also a U.S. Army veteran.",0,1.9173627023012183,2.0655109238766243,0.14814822157540597,0.5572554297817671,0.5571363177726111,-0.00011911200915604159,5.736516952514648,5.763045787811279,0.02652883529663086,53.0,53.0,0.0,637.0,651.0,14.0,2.197802197802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,68.0,34.0,1.2830188679245282,"{""mlp.output|layer_18"": 34, ""mlp.output|layer_24"": 34}"
42,5,trivia_qa_138,Who was the only female victim to be killed off in the opening credit sequence in Police Squad?,"[""Florence Agnes Henderson"", ""Florence Henderson"", ""Florence Hendersen"", ""Flo Henderson"", ""florence hendersen"", ""florence agnes henderson"", ""florence henderson"", ""flo henderson""]",The only female victim killed off in the opening credit sequence of Police Squad was Woman Number 42.,The only female victim killed off in the opening credit sequence of Police Squad was Woman Number 3.,1,1.4183662636370185,1.4183519919435421,-1.4271693476342051e-05,0.5204289882034242,0.45560859531161396,-0.06482039289181024,3.977740526199341,3.9668946266174316,-0.01084589958190918,22.0,21.0,-1.0,262.0,258.0,-4.0,-1.5267175572519083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,22.0,11.0,1.0476190476190477,"{""mlp.output|layer_18"": 11, ""mlp.output|layer_24"": 11}"
42,6,trivia_qa_149,In which year was the Juilliard School founded in New York?,"[""1905"", ""one thousand, nine hundred and five"", ""one thousand nine hundred and five"", ""1905""]",The Juilliard School was founded in 1905.,The Juilliard School was founded in 1905.,0,0.0,0.0,0.0,0.02733525630493275,0.027335287136468815,3.0831536063785636e-08,0.37880799174308777,0.37880799174308777,0.0,15.0,15.0,0.0,191.0,181.0,-10.0,-5.2356020942408374,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1905,1905,4.0,2.0,0.26666666666666666,"{""mlp.output|layer_18"": 2, ""mlp.output|layer_24"": 2}"
42,7,trivia_qa_155,The Suez Canal connects the Mediterranean Sea to which other Sea?,"[""Arabicus Sinus"", ""Sinus Arabicus"", ""Red sea"", ""The red sea"", ""ቀይሕ ባሕሪ"", ""Red Sea"", ""Red Sea Basin"", ""Al Baḩr al Aḩmar"", ""Sea of Mecca"", ""red sea basin"", ""arabicus sinus"", ""ቀይሕ ባሕሪ"", ""sea of mecca"", ""sinus arabicus"", ""red sea"", ""al baḩr al aḩmar""]",The Suez Canal connects the Mediterranean Sea to the Red Sea.,The Suez Canal connects the Mediterranean Sea to the Red Sea.,0,0.0,0.0,0.0,0.000958773954222685,0.0009587034676037308,-7.04866189542427e-08,0.013198007829487324,0.013198007829487324,0.0,14.0,14.0,0.0,172.0,169.0,-3.0,-1.744186046511628,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Red sea,Red sea,2.0,1.0,0.14285714285714285,"{""mlp.output|layer_18"": 1, ""mlp.output|layer_24"": 1}"
42,8,trivia_qa_156,Which rock star did Cindy Crawford name her first son after?,"[""Presley"", ""Pressley"", ""Pressly"", ""pressly"", ""presley"", ""pressley""]",Cindy Crawford named her first son after the rock star Keith Richards.,Cindy Crawford named her first son after the rock star Keith Richards.,0,1.7064060080044006,1.7030174750002354,-0.003388533004165195,0.3604869153921754,0.35730225047712644,-0.0031846649150489847,3.3790535926818848,3.3675694465637207,-0.011484146118164062,15.0,15.0,0.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,16.0,8.0,1.0666666666666667,"{""mlp.output|layer_18"": 8, ""mlp.output|layer_24"": 8}"
42,9,trivia_qa_158,Who designed the dress which made the most at Diana's dress auction?,"[""Victor Edelstein"", ""victor edelstein""]",The dress designed by David Emanuel made the most at Diana's dress auction.,The dress designed by David Emanuel made the most at Diana's dress auction.,0,0.40394687104356286,1.2574370127430177,0.8534901416994548,0.46959380006092877,0.4696719506754561,7.815061452731697e-05,3.946281909942627,3.956479072570801,0.010197162628173828,16.0,16.0,0.0,191.0,197.0,6.0,3.1413612565445024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20.0,10.0,1.25,"{""mlp.output|layer_18"": 10, ""mlp.output|layer_24"": 10}"
42,10,trivia_qa_17,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","[""Hitlerian"", ""Adolph Schicklgruber"", ""HitlerAdolf"", ""Hitler's medical health"", ""Adolf Hitle"", ""Hitlar"", ""Adolph Hiedler"", ""Adolf Hiedler"", ""Adolph Hittler"", ""Day of Potsdam"", ""Adolpf Hitler"", ""Adolf Hister"", ""Adolf Hitlier"", ""Adolph Hitler's health"", ""Hitler's health"", ""Hitlers"", ""Aldof Hilter"", ""HITLER"", ""Hitler, Adolph"", ""History of Adolf Hitler"", ""Hitler,Adolph"", ""Adolph Hiter"", ""Adolf Hittler"", ""Herr Hitler"", ""Hitler,Adolf"", ""Adolf Schicklegruber"", ""Adolf hitler"", ""Adlof hitler"", ""Adolph Schickelgruber"", ""Hitler Adolf"", ""Hitlers medical health"", ""HitlerAdolph"", ""Adolph Schicklegruber"", ""Adolf Hiler"", ""Adolf Hitler's medical condition"", ""Hittler"", ""Adolf Schickelgruber"", ""Adolf Hitler"", ""Hitler's"", ""Hitler, adolf"", ""Nazi leader"", ""Hitler, Adolf"", ""Herr Wolf"", ""Adolph Hitler's medical health"", ""Adolph Hitler"", ""Adolf Hitler's health"", ""Adolf Schicklgruber"", ""AdolphHitler"", ""Adolf Hilter"", ""Health of Adolf Hitler"", ""Adolf Hitler's medical health"", ""Hitler Adolph"", ""AdolfHitler"", ""Adolf HItler"", ""Hitlet"", ""Hitler adolf"", ""Adoff Hitler"", ""Adolfus Hitler"", ""Hitler"", ""Adolph hitler"", ""hitler s medical health"", ""adlof hitler"", ""adolf hiedler"", ""hitler adolf"", ""hitleradolf"", ""adolpf hitler"", ""history of adolf hitler"", ""hitleradolph"", ""adolphhitler"", ""adolf hitler s health"", ""adoff hitler"", ""hitlar"", ""adolf hiler"", ""adolph hiedler"", ""adolf hitle"", ""aldof hilter"", ""adolph hiter"", ""hitler s"", ""hitler"", ""adolf hister"", ""adolf hittler"", ""nazi leader"", ""adolfhitler"", ""adolf hitler s medical health"", ""hitler adolph"", ""hitler s health"", ""herr hitler"", ""adolfus hitler"", ""adolph hitler"", ""adolph schicklegruber"", ""adolf hilter"", ""adolf hitler s medical condition"", ""health of adolf hitler"", ""hitlerian"", ""adolph schicklgruber"", ""adolph hitler s medical health"", ""adolph hitler s health"", ""adolph schickelgruber"", ""adolf schicklgruber"", ""day of potsdam"", ""adolf hitlier"", ""adolf hitler"", ""hitlers medical health"", ""hittler"", ""hitlers"", ""herr wolf"", ""hitlet"", ""adolf schickelgruber"", ""adolf schicklegruber"", ""adolph hittler""]","The target of the failed ""Bomb Plot"" of 1944 was Adolf Hitler.","The target of the failed ""Bomb Plot"" of 1944 was Adolf Hitler.",0,0.0,0.0,0.0,0.025825709182507827,0.02579807592695943,-2.7633255548397545e-05,0.14446137845516205,0.14446137845516205,0.0,20.0,20.0,0.0,240.0,244.0,4.0,1.6666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Adolf Hitle,Adolf Hitle,16.0,8.0,0.8,"{""mlp.output|layer_18"": 8, ""mlp.output|layer_24"": 8}"
