seed,question_index,question_id,question,ideal_answers,baseline_answer_text,intervention_answer_text,answer_changed,baseline_semantic_entropy_weighted,intervention_semantic_entropy_weighted,delta_semantic_entropy_weighted,baseline_token_mean_entropy,intervention_token_mean_entropy,delta_token_mean_entropy,baseline_token_max_entropy,intervention_token_max_entropy,delta_token_max_entropy,baseline_num_generated_tokens,intervention_num_generated_tokens,delta_num_generated_tokens,baseline_elapsed_ms,intervention_elapsed_ms,delta_elapsed_ms,relative_elapsed_ms_pct,baseline_final_semantic_correct,intervention_final_semantic_correct,delta_final_semantic_correct,baseline_final_exact_match,intervention_final_exact_match,delta_final_exact_match,baseline_final_contains_match,intervention_final_contains_match,delta_final_contains_match,baseline_matched_ideal_answer,intervention_matched_ideal_answer,intervention_total_events,intervention_steps_with_events,intervention_event_density,intervention_per_site_counts
42,1,trivia_qa_104,What was the name of the brothel in The Best Little Whorehouse in Texas?,"[""Chicken Ranch"", ""Chicken Ranch (disambiguation)"", ""The Chicken Ranch"", ""chicken ranch disambiguation"", ""chicken ranch""]","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Crystal Charity Club.",1,1.6733718153077217,1.344824134959103,-0.3285476803486187,0.5894469233705052,0.4214139666390444,-0.1680329567314608,5.958863735198975,3.788064956665039,-2.1707987785339355,23.0,21.0,-2.0,743.0,276.0,-467.0,-62.85329744279946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,42.0,21.0,2.0,"{""mlp.output|layer_18"": 21, ""mlp.output|layer_24"": 21}"
42,2,trivia_qa_123,Who's home runs record did Mark McGwire break in the 1998 season?,"[""Roger Eugene Maras"", ""Roger marris"", ""Roger Eugene Maris"", ""Roger Maris Museum"", ""Roger Maris"", ""Roger Maras"", ""Roger Maris' 61 home run season"", ""roger maris 61 home run season"", ""roger eugene maras"", ""roger eugene maris"", ""roger maris"", ""roger marris"", ""roger maris museum"", ""roger maras""]","In the 1998 season, Mark McGwire broke Roger Maris's home run record of 61, setting a new record with 70 home runs.","In the 1998 season, Mark McGwire broke Roger Maris's home run record of 61, setting a new record with 70 home runs.",0,0.0,1.1102230246251564e-16,1.1102230246251564e-16,0.18304749730318556,0.1835578571558785,0.000510359852692932,2.4399077892303467,2.442277193069458,0.002369403839111328,37.0,37.0,0.0,571.0,460.0,-111.0,-19.439579684763572,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Roger Maris,Roger Maris,74.0,37.0,2.0,"{""mlp.output|layer_18"": 37, ""mlp.output|layer_24"": 37}"
42,3,trivia_qa_127,Where did Jonathan Edwards set his 1995 triple jump world record?,"[""Swedish sin"", ""Swea Region"", ""Sverige"", ""Swedish origin"", ""Schweden"", ""Kingdom of Sweden"", ""SWEDEN"", ""Etymology of Sweden"", ""Mainland Sweden"", ""Konungariket Sverige"", ""Ulf Bergman"", ""Swedish climate"", ""Sweden"", ""Climate of Sweden"", ""ISO 3166-1:SE"", ""Sveden"", ""Suecia"", ""Swedish realm"", ""Zweden"", ""ulf bergman"", ""swea region"", ""swedish origin"", ""swedish climate"", ""kingdom of sweden"", ""sveden"", ""suecia"", ""swedish realm"", ""zweden"", ""iso 3166 1 se"", ""mainland sweden"", ""konungariket sverige"", ""schweden"", ""sweden"", ""sverige"", ""swedish sin"", ""climate of sweden"", ""etymology of sweden""]","Jonathan Edwards set his 1995 triple jump world record at the Meeting de Picardie in Amiens, France.","Jonathan Edwards set his 1995 triple jump world record at the Meeting de Santander in Santander, Spain.",1,1.7090262799458302,1.7090486748340716,2.2394888241406008e-05,0.46167543900066343,0.5020496856113065,0.04037424661064304,5.284481048583984,5.273168087005615,-0.01131296157836914,27.0,26.0,-1.0,335.0,323.0,-12.0,-3.582089552238806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,52.0,26.0,2.0,"{""mlp.output|layer_18"": 26, ""mlp.output|layer_24"": 26}"
42,4,trivia_qa_135,Which war veteran was Director of News & Special Events for ABC before find fame as a TV cop?,"[""Thomas William %22Tom%22 Selleck"", ""Thomas Selleck"", ""Thomas William Selleck"", ""Tom selleck"", ""Tom Selleck"", ""thomas william 22tom 22 selleck"", ""thomas selleck"", ""tom selleck"", ""thomas william selleck""]","Peter Falk was the TV cop who previously served as the Director of News & Special Events for ABC. He is best known for his role as Detective Max Fleckman on the TV series ""Columbo."" Falk was also a U.S. Army veteran.","Peter Falk was the TV cop who previously served as the Director of News & Special Events for ABC. He is best known for his role as Detective Max Fleckman on the TV series ""Columbo."" Falk was also a U.S. Army veteran.",0,1.9173627023012183,1.0903348774713026,-0.8270278248299157,0.5572554297817671,0.5569525953987734,-0.0003028343829937219,5.736516952514648,5.670425891876221,-0.06609106063842773,53.0,53.0,0.0,637.0,661.0,24.0,3.767660910518053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,106.0,53.0,2.0,"{""mlp.output|layer_18"": 53, ""mlp.output|layer_24"": 53}"
42,5,trivia_qa_138,Who was the only female victim to be killed off in the opening credit sequence in Police Squad?,"[""Florence Agnes Henderson"", ""Florence Henderson"", ""Florence Hendersen"", ""Flo Henderson"", ""florence hendersen"", ""florence agnes henderson"", ""florence henderson"", ""flo henderson""]",The only female victim killed off in the opening credit sequence of Police Squad was Woman Number 42.,The only female victim killed off in the opening credit sequence of Police Squad was Woman Number 42.,0,1.4183662636370185,1.4200256750674782,0.0016594114304597785,0.5204289882034242,0.5202142252764216,-0.00021476292700262078,3.977740526199341,3.973032236099243,-0.004708290100097656,22.0,22.0,0.0,262.0,273.0,11.0,4.198473282442748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,44.0,22.0,2.0,"{""mlp.output|layer_18"": 22, ""mlp.output|layer_24"": 22}"
42,6,trivia_qa_149,In which year was the Juilliard School founded in New York?,"[""1905"", ""one thousand, nine hundred and five"", ""one thousand nine hundred and five"", ""1905""]",The Juilliard School was founded in 1905.,The Juilliard School was founded in 1905.,0,0.0,0.0,0.0,0.02733525630493275,0.027326230708408353,-9.025596524398632e-06,0.37880799174308777,0.3788113296031952,3.337860107421875e-06,15.0,15.0,0.0,191.0,188.0,-3.0,-1.5706806282722512,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1905,1905,30.0,15.0,2.0,"{""mlp.output|layer_18"": 15, ""mlp.output|layer_24"": 15}"
42,7,trivia_qa_155,The Suez Canal connects the Mediterranean Sea to which other Sea?,"[""Arabicus Sinus"", ""Sinus Arabicus"", ""Red sea"", ""The red sea"", ""ቀይሕ ባሕሪ"", ""Red Sea"", ""Red Sea Basin"", ""Al Baḩr al Aḩmar"", ""Sea of Mecca"", ""red sea basin"", ""arabicus sinus"", ""ቀይሕ ባሕሪ"", ""sea of mecca"", ""sinus arabicus"", ""red sea"", ""al baḩr al aḩmar""]",The Suez Canal connects the Mediterranean Sea to the Red Sea.,The Suez Canal connects the Mediterranean Sea to the Red Sea.,0,0.0,0.0,0.0,0.000958773954222685,0.0009582105377350698,-5.634164876152032e-07,0.013198007829487324,0.013188904151320457,-9.103678166866302e-06,14.0,14.0,0.0,172.0,175.0,3.0,1.744186046511628,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Red sea,Red sea,28.0,14.0,2.0,"{""mlp.output|layer_18"": 14, ""mlp.output|layer_24"": 14}"
42,8,trivia_qa_156,Which rock star did Cindy Crawford name her first son after?,"[""Presley"", ""Pressley"", ""Pressly"", ""pressly"", ""presley"", ""pressley""]",Cindy Crawford named her first son after the rock star Keith Richards.,Cindy Crawford named her first son after the rock star Keith Richards.,0,1.7064060080044006,1.7068302164662228,0.0004242084618222286,0.3604869153921754,0.36249901439005044,0.0020120989978750226,3.3790535926818848,3.382660388946533,0.0036067962646484375,15.0,15.0,0.0,185.0,186.0,1.0,0.5405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,30.0,15.0,2.0,"{""mlp.output|layer_18"": 15, ""mlp.output|layer_24"": 15}"
42,9,trivia_qa_158,Who designed the dress which made the most at Diana's dress auction?,"[""Victor Edelstein"", ""victor edelstein""]",The dress designed by David Emanuel made the most at Diana's dress auction.,The dress designed by David Emanuel made the most at Diana's dress auction.,0,0.40394687104356286,0.40368055303565886,-0.0002663180079039984,0.46959380006092877,0.46876307580438503,-0.0008307242565437356,3.946281909942627,3.9448904991149902,-0.0013914108276367188,16.0,16.0,0.0,191.0,198.0,7.0,3.664921465968586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,32.0,16.0,2.0,"{""mlp.output|layer_18"": 16, ""mlp.output|layer_24"": 16}"
42,10,trivia_qa_17,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","[""Hitlerian"", ""Adolph Schicklgruber"", ""HitlerAdolf"", ""Hitler's medical health"", ""Adolf Hitle"", ""Hitlar"", ""Adolph Hiedler"", ""Adolf Hiedler"", ""Adolph Hittler"", ""Day of Potsdam"", ""Adolpf Hitler"", ""Adolf Hister"", ""Adolf Hitlier"", ""Adolph Hitler's health"", ""Hitler's health"", ""Hitlers"", ""Aldof Hilter"", ""HITLER"", ""Hitler, Adolph"", ""History of Adolf Hitler"", ""Hitler,Adolph"", ""Adolph Hiter"", ""Adolf Hittler"", ""Herr Hitler"", ""Hitler,Adolf"", ""Adolf Schicklegruber"", ""Adolf hitler"", ""Adlof hitler"", ""Adolph Schickelgruber"", ""Hitler Adolf"", ""Hitlers medical health"", ""HitlerAdolph"", ""Adolph Schicklegruber"", ""Adolf Hiler"", ""Adolf Hitler's medical condition"", ""Hittler"", ""Adolf Schickelgruber"", ""Adolf Hitler"", ""Hitler's"", ""Hitler, adolf"", ""Nazi leader"", ""Hitler, Adolf"", ""Herr Wolf"", ""Adolph Hitler's medical health"", ""Adolph Hitler"", ""Adolf Hitler's health"", ""Adolf Schicklgruber"", ""AdolphHitler"", ""Adolf Hilter"", ""Health of Adolf Hitler"", ""Adolf Hitler's medical health"", ""Hitler Adolph"", ""AdolfHitler"", ""Adolf HItler"", ""Hitlet"", ""Hitler adolf"", ""Adoff Hitler"", ""Adolfus Hitler"", ""Hitler"", ""Adolph hitler"", ""hitler s medical health"", ""adlof hitler"", ""adolf hiedler"", ""hitler adolf"", ""hitleradolf"", ""adolpf hitler"", ""history of adolf hitler"", ""hitleradolph"", ""adolphhitler"", ""adolf hitler s health"", ""adoff hitler"", ""hitlar"", ""adolf hiler"", ""adolph hiedler"", ""adolf hitle"", ""aldof hilter"", ""adolph hiter"", ""hitler s"", ""hitler"", ""adolf hister"", ""adolf hittler"", ""nazi leader"", ""adolfhitler"", ""adolf hitler s medical health"", ""hitler adolph"", ""hitler s health"", ""herr hitler"", ""adolfus hitler"", ""adolph hitler"", ""adolph schicklegruber"", ""adolf hilter"", ""adolf hitler s medical condition"", ""health of adolf hitler"", ""hitlerian"", ""adolph schicklgruber"", ""adolph hitler s medical health"", ""adolph hitler s health"", ""adolph schickelgruber"", ""adolf schicklgruber"", ""day of potsdam"", ""adolf hitlier"", ""adolf hitler"", ""hitlers medical health"", ""hittler"", ""hitlers"", ""herr wolf"", ""hitlet"", ""adolf schickelgruber"", ""adolf schicklegruber"", ""adolph hittler""]","The target of the failed ""Bomb Plot"" of 1944 was Adolf Hitler.","The target of the failed ""Bomb Plot"" of 1944 was Adolf Hitler.",0,0.0,0.0,0.0,0.025825709182507827,0.025678553079670475,-0.0001471561028373522,0.14446137845516205,0.1428096443414688,-0.0016517341136932373,20.0,20.0,0.0,240.0,248.0,8.0,3.3333333333333335,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Adolf Hitle,Adolf Hitle,40.0,20.0,2.0,"{""mlp.output|layer_18"": 20, ""mlp.output|layer_24"": 20}"
