question_id,seed,label,selected_token_count,selected_completion_tokens,selected_answer_text,any_correct_in_window,any_correct_in_full_group,sel_self_logprob_avg,sel_self_token_mean_entropy,sel_self_token_max_entropy,sel_self_token_count,sel_self_completion_tokens,sel_self_cluster_size,sel_self_cluster_weight_mass,sel_self_semantic_entropy_weighted_set,sel_self_semantic_clusters_set,sel_self_logprob_avg_z,sel_self_token_mean_entropy_z,sel_self_token_max_entropy_z,sel_self_token_count_z,sel_self_cluster_size_z,sel_self_cluster_weight_mass_z,sel_self_logprob_rank,sel_self_low_entropy_rank,sel_self_cluster_size_rank,sel_self_verifier_score_v05,sel_teacher_teacher_best_similarity,sel_teacher_teacher_best_basin_mass,sel_teacher_teacher_best_basin_strict_any,sel_teacher_teacher_support_mass,sel_teacher_teacher_correct_support_mass,sel_teacher_qwen_only_stable_mass,sel_teacher_anchor_score_noleak,win_self_logprob_avg_mean,win_self_logprob_avg_min,win_self_logprob_avg_max,win_self_logprob_avg_std,win_self_token_mean_entropy_mean,win_self_token_mean_entropy_min,win_self_token_mean_entropy_max,win_self_token_mean_entropy_std,win_self_token_max_entropy_mean,win_self_token_max_entropy_min,win_self_token_max_entropy_max,win_self_token_max_entropy_std,win_self_token_count_mean,win_self_token_count_min,win_self_token_count_max,win_self_token_count_std,win_self_completion_tokens_mean,win_self_completion_tokens_min,win_self_completion_tokens_max,win_self_completion_tokens_std,win_self_cluster_size_mean,win_self_cluster_size_min,win_self_cluster_size_max,win_self_cluster_size_std,win_self_cluster_weight_mass_mean,win_self_cluster_weight_mass_min,win_self_cluster_weight_mass_max,win_self_cluster_weight_mass_std,win_self_semantic_entropy_weighted_set_mean,win_self_semantic_entropy_weighted_set_min,win_self_semantic_entropy_weighted_set_max,win_self_semantic_entropy_weighted_set_std,win_self_semantic_clusters_set_mean,win_self_semantic_clusters_set_min,win_self_semantic_clusters_set_max,win_self_semantic_clusters_set_std,win_self_logprob_avg_z_mean,win_self_logprob_avg_z_min,win_self_logprob_avg_z_max,win_self_logprob_avg_z_std,win_self_token_mean_entropy_z_mean,win_self_token_mean_entropy_z_min,win_self_token_mean_entropy_z_max,win_self_token_mean_entropy_z_std,win_self_token_max_entropy_z_mean,win_self_token_max_entropy_z_min,win_self_token_max_entropy_z_max,win_self_token_max_entropy_z_std,win_self_token_count_z_mean,win_self_token_count_z_min,win_self_token_count_z_max,win_self_token_count_z_std,win_self_cluster_size_z_mean,win_self_cluster_size_z_min,win_self_cluster_size_z_max,win_self_cluster_size_z_std,win_self_cluster_weight_mass_z_mean,win_self_cluster_weight_mass_z_min,win_self_cluster_weight_mass_z_max,win_self_cluster_weight_mass_z_std,win_self_logprob_rank_mean,win_self_logprob_rank_min,win_self_logprob_rank_max,win_self_logprob_rank_std,win_self_low_entropy_rank_mean,win_self_low_entropy_rank_min,win_self_low_entropy_rank_max,win_self_low_entropy_rank_std,win_self_cluster_size_rank_mean,win_self_cluster_size_rank_min,win_self_cluster_size_rank_max,win_self_cluster_size_rank_std,win_self_verifier_score_v05_mean,win_self_verifier_score_v05_min,win_self_verifier_score_v05_max,win_self_verifier_score_v05_std,win_teacher_teacher_best_similarity_mean,win_teacher_teacher_best_similarity_min,win_teacher_teacher_best_similarity_max,win_teacher_teacher_best_similarity_std,win_teacher_teacher_best_basin_mass_mean,win_teacher_teacher_best_basin_mass_min,win_teacher_teacher_best_basin_mass_max,win_teacher_teacher_best_basin_mass_std,win_teacher_teacher_best_basin_strict_any_mean,win_teacher_teacher_best_basin_strict_any_min,win_teacher_teacher_best_basin_strict_any_max,win_teacher_teacher_best_basin_strict_any_std,win_teacher_teacher_support_mass_mean,win_teacher_teacher_support_mass_min,win_teacher_teacher_support_mass_max,win_teacher_teacher_support_mass_std,win_teacher_teacher_correct_support_mass_mean,win_teacher_teacher_correct_support_mass_min,win_teacher_teacher_correct_support_mass_max,win_teacher_teacher_correct_support_mass_std,win_teacher_qwen_only_stable_mass_mean,win_teacher_qwen_only_stable_mass_min,win_teacher_qwen_only_stable_mass_max,win_teacher_qwen_only_stable_mass_std,win_teacher_anchor_score_noleak_mean,win_teacher_anchor_score_noleak_min,win_teacher_anchor_score_noleak_max,win_teacher_anchor_score_noleak_std,group_size,group_num_basins,group_top1_basin_share,group_top2_basin_share,group_top1_minus_top2,group_basin_entropy
trivia_qa_164,42,1.0,24.0,24.0,"In La Cage Aux Folles, La Cage Aux Folles is a French nightclub and the setting of the story.",1.0,1.0,-0.4441578006328655,0.7837375492568981,4.12827205657959,24.0,24.0,8.0,1.0,0.0,1.0,0.0815089336215968,0.1978872318161977,-0.2245354510029121,-0.170668771486133,0.0,0.0,4.0,5.0,1.0,0.0107506301287484,0.5294117647058824,0.25,0.0,0.0,0.0,1.0,-0.0919675210330738,-0.4441578006328655,-0.4441578006328655,-0.4441578006328655,0.0,0.7837375492568981,0.7837375492568981,0.7837375492568981,0.0,4.12827205657959,4.12827205657959,4.12827205657959,0.0,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,8.0,8.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0815089336215968,0.0815089336215968,0.0815089336215968,0.0,0.1978872318161977,0.1978872318161977,0.1978872318161977,0.0,-0.2245354510029121,-0.2245354510029121,-0.2245354510029121,0.0,-0.170668771486133,-0.170668771486133,-0.170668771486133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0107506301287484,0.0107506301287484,0.0107506301287484,0.0,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.0919675210330738,-0.0919675210330738,-0.0919675210330738,0.0,1.0,1.0,1.0,0.0,1.0,-1.000088900581841e-12
trivia_qa_164,43,0.0,27.0,27.0,"In ""La Cage Aux Folles,"" La Cage Aux Folles is a café and drag club owned by Jacques and Albin.",0.0,1.0,-0.4576489548703711,0.7503082781821057,3.777770757675171,27.0,27.0,8.0,1.0,1.1102230246251563e-16,1.0,0.1177852634772257,-0.1011454792675806,-0.693832263222367,0.4890974155477661,0.0,0.0,4.0,4.0,1.0,0.0861040258765033,0.3846153846153846,0.25,1.0,0.0,0.0,1.0,-0.1058561179016223,-0.4576489548703711,-0.4576489548703711,-0.4576489548703711,0.0,0.7503082781821057,0.7503082781821057,0.7503082781821057,0.0,3.777770757675171,3.777770757675171,3.777770757675171,0.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,0.0,8.0,8.0,8.0,0.0,1.0,1.0,1.0,0.0,1.1102230246251563e-16,1.1102230246251563e-16,1.1102230246251563e-16,0.0,1.0,1.0,1.0,0.0,0.1177852634772257,0.1177852634772257,0.1177852634772257,0.0,-0.1011454792675806,-0.1011454792675806,-0.1011454792675806,0.0,-0.693832263222367,-0.693832263222367,-0.693832263222367,0.0,0.4890974155477661,0.4890974155477661,0.4890974155477661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0861040258765033,0.0861040258765033,0.0861040258765033,0.0,0.3846153846153846,0.3846153846153846,0.3846153846153846,0.0,0.25,0.25,0.25,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.1058561179016223,-0.1058561179016223,-0.1058561179016223,0.0,1.0,1.0,1.0,0.0,1.0,-1.000088900581841e-12
trivia_qa_383,42,0.0,27.0,27.0,"George Cornell was shot in the Humming Bird Café, which was located on Bethnal Green Road in the East End of London.",0.0,0.0,-0.5355923483153143,0.8887967730691633,5.897194862365723,27.0,27.0,1.0,0.1277296412550205,2.0705728162028194,8.0,0.2117447346660283,-0.2307965108513934,-0.3535533905932738,0.967960176171968,0.0,0.1540623755944782,4.0,5.0,1.0,0.1726076623603607,0.08,1.0,1.0,0.0,0.0,0.1277296412550205,0.024975604221068,-0.5355923483153143,-0.5355923483153143,-0.5355923483153143,0.0,0.8887967730691633,0.8887967730691633,0.8887967730691633,0.0,5.897194862365723,5.897194862365723,5.897194862365723,0.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,0.0,1.0,1.0,1.0,0.0,0.1277296412550205,0.1277296412550205,0.1277296412550205,0.0,2.0705728162028194,2.0705728162028194,2.0705728162028194,0.0,8.0,8.0,8.0,0.0,0.2117447346660283,0.2117447346660283,0.2117447346660283,0.0,-0.2307965108513934,-0.2307965108513934,-0.2307965108513934,0.0,-0.3535533905932738,-0.3535533905932738,-0.3535533905932738,0.0,0.967960176171968,0.967960176171968,0.967960176171968,0.0,0.0,0.0,0.0,0.0,0.1540623755944782,0.1540623755944782,0.1540623755944782,0.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.1726076623603607,0.1726076623603607,0.1726076623603607,0.0,0.08,0.08,0.08,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1277296412550205,0.1277296412550205,0.1277296412550205,0.0,0.024975604221068,0.024975604221068,0.024975604221068,0.0,1.0,1.0,1.0,0.0,1.0,-1.000088900581841e-12
trivia_qa_383,43,0.0,19.0,19.0,"George Cornell was shot in the Black Horse public house in Bethnal Green, East London.",0.0,0.0,-0.3455298781901535,0.873283319502087,5.897194862365723,19.0,19.0,1.0,0.1578281685837642,2.069158760190807,8.0,1.589427644695987,-0.5337274480405528,-0.3535533905932738,-0.4399818982599854,0.0,1.7076073530582805,1.0,4.0,1.0,1.2388501288710172,0.1111111111111111,1.0,1.0,0.0,0.0,0.1578281685837642,0.2384266142796728,-0.3455298781901535,-0.3455298781901535,-0.3455298781901535,0.0,0.873283319502087,0.873283319502087,0.873283319502087,0.0,5.897194862365723,5.897194862365723,5.897194862365723,0.0,19.0,19.0,19.0,0.0,19.0,19.0,19.0,0.0,1.0,1.0,1.0,0.0,0.1578281685837642,0.1578281685837642,0.1578281685837642,0.0,2.069158760190807,2.069158760190807,2.069158760190807,0.0,8.0,8.0,8.0,0.0,1.589427644695987,1.589427644695987,1.589427644695987,0.0,-0.5337274480405528,-0.5337274480405528,-0.5337274480405528,0.0,-0.3535533905932738,-0.3535533905932738,-0.3535533905932738,0.0,-0.4399818982599854,-0.4399818982599854,-0.4399818982599854,0.0,0.0,0.0,0.0,0.0,1.7076073530582805,1.7076073530582805,1.7076073530582805,0.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,1.2388501288710172,1.2388501288710172,1.2388501288710172,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1578281685837642,0.1578281685837642,0.1578281685837642,0.0,0.2384266142796728,0.2384266142796728,0.2384266142796728,0.0,1.0,1.0,1.0,0.0,1.0,-1.000088900581841e-12
trivia_qa_45,42,1.0,29.0,29.0,"The Shining Path (Sendero Luminoso) terrorists operated primarily in Peru, particularly in the country's rural and mountainous regions.",1.0,1.0,-0.1299779085409541,0.3011463264896018,1.1458065509796145,29.0,29.0,6.0,0.7604348899200578,0.5505781207261724,2.0,0.6819885173733063,-0.3113239621658416,-0.3535533905932738,0.0,0.5400617248673217,0.5400617248673215,1.0,3.0,1.0,0.6910365584303337,0.95,0.75,1.0,0.75,0.75,0.1901087224800144,0.6651855671900637,-0.1299779085409541,-0.1299779085409541,-0.1299779085409541,0.0,0.3011463264896018,0.3011463264896018,0.3011463264896018,0.0,1.1458065509796145,1.1458065509796145,1.1458065509796145,0.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,0.0,6.0,6.0,6.0,0.0,0.7604348899200578,0.7604348899200578,0.7604348899200578,0.0,0.5505781207261724,0.5505781207261724,0.5505781207261724,0.0,2.0,2.0,2.0,0.0,0.6819885173733063,0.6819885173733063,0.6819885173733063,0.0,-0.3113239621658416,-0.3113239621658416,-0.3113239621658416,0.0,-0.3535533905932738,-0.3535533905932738,-0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.5400617248673217,0.5400617248673217,0.5400617248673217,0.0,0.5400617248673215,0.5400617248673215,0.5400617248673215,0.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.6910365584303337,0.6910365584303337,0.6910365584303337,0.0,0.95,0.95,0.95,0.0,0.75,0.75,0.75,0.0,1.0,1.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.0,0.1901087224800144,0.1901087224800144,0.1901087224800144,0.0,0.6651855671900637,0.6651855671900637,0.6651855671900637,0.0,1.0,1.0,1.0,0.0,1.0,-1.000088900581841e-12
trivia_qa_45,43,1.0,32.0,32.0,"The Shining Path (Sendero Luminoso) terrorists operated primarily in Peru, with their activities centered in rural and mountainous regions of the country.",1.0,1.0,-0.2376981445883856,0.4068065354416319,1.3969992399215698,32.0,32.0,6.0,0.7604348899200578,0.5505781207261724,2.0,-1.6186776608794513,2.466974991073427,2.4748737341529163,2.1213203435596424,0.5400617248673217,0.5400617248673215,8.0,8.0,1.0,-1.0099557789164617,0.95,0.75,1.0,0.75,0.75,0.1901087224800144,0.3249870997207047,-0.2376981445883856,-0.2376981445883856,-0.2376981445883856,0.0,0.4068065354416319,0.4068065354416319,0.4068065354416319,0.0,1.3969992399215698,1.3969992399215698,1.3969992399215698,0.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,6.0,6.0,6.0,0.0,0.7604348899200578,0.7604348899200578,0.7604348899200578,0.0,0.5505781207261724,0.5505781207261724,0.5505781207261724,0.0,2.0,2.0,2.0,0.0,-1.6186776608794513,-1.6186776608794513,-1.6186776608794513,0.0,2.466974991073427,2.466974991073427,2.466974991073427,0.0,2.4748737341529163,2.4748737341529163,2.4748737341529163,0.0,2.1213203435596424,2.1213203435596424,2.1213203435596424,0.0,0.5400617248673217,0.5400617248673217,0.5400617248673217,0.0,0.5400617248673215,0.5400617248673215,0.5400617248673215,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,1.0,1.0,1.0,0.0,-1.0099557789164617,-1.0099557789164617,-1.0099557789164617,0.0,0.95,0.95,0.95,0.0,0.75,0.75,0.75,0.0,1.0,1.0,1.0,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.0,0.1901087224800144,0.1901087224800144,0.1901087224800144,0.0,0.3249870997207047,0.3249870997207047,0.3249870997207047,0.0,1.0,1.0,1.0,0.0,1.0,-1.000088900581841e-12
trivia_qa_156,42,0.0,16.0,16.0,Cindy Crawford named her first son after the rock star Mick Jagger.,0.0,1.0,-0.1107212266297992,0.2887472649189249,3.3790535926818848,16.0,16.0,2.0,0.2747099898932089,1.7078096387256356,6.0,1.0039936857706315,-0.6744723325079994,-0.3535533905932738,-0.2844843315028305,0.9354143466934852,1.0464027667548326,1.0,1.0,1.0,1.0802577200305652,0.0,0.0,0.0,0.0,0.0,0.2747099898932089,0.1611095460274712,-0.1107212266297992,-0.1107212266297992,-0.1107212266297992,0.0,0.2887472649189249,0.2887472649189249,0.2887472649189249,0.0,3.3790535926818848,3.3790535926818848,3.3790535926818848,0.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,2.0,2.0,2.0,0.0,0.2747099898932089,0.2747099898932089,0.2747099898932089,0.0,1.7078096387256356,1.7078096387256356,1.7078096387256356,0.0,6.0,6.0,6.0,0.0,1.0039936857706315,1.0039936857706315,1.0039936857706315,0.0,-0.6744723325079994,-0.6744723325079994,-0.6744723325079994,0.0,-0.3535533905932738,-0.3535533905932738,-0.3535533905932738,0.0,-0.2844843315028305,-0.2844843315028305,-0.2844843315028305,0.0,0.9354143466934852,0.9354143466934852,0.9354143466934852,0.0,1.0464027667548326,1.0464027667548326,1.0464027667548326,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0802577200305652,1.0802577200305652,1.0802577200305652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2747099898932089,0.2747099898932089,0.2747099898932089,0.0,0.1611095460274712,0.1611095460274712,0.1611095460274712,0.0,1.0,1.0,1.0,0.0,1.0,-1.000088900581841e-12
trivia_qa_156,43,0.0,15.0,15.0,Cindy Crawford named her first son after the rock star Billy Idol.,0.0,1.0,-0.2901585740484355,0.3542328733357863,3.3790535926818848,15.0,15.0,1.0,0.1158943188030797,1.65061281715383,6.0,-0.7955078147496052,-0.1851073838070163,-0.3535533905932738,-0.3870693672140189,-0.724568837309472,-0.7709736856715215,7.0,4.0,4.0,-0.4617860342193004,0.0,0.0,0.0,0.0,0.0,0.1158943188030797,-0.115536070604476,-0.2901585740484355,-0.2901585740484355,-0.2901585740484355,0.0,0.3542328733357863,0.3542328733357863,0.3542328733357863,0.0,3.3790535926818848,3.3790535926818848,3.3790535926818848,0.0,15.0,15.0,15.0,0.0,15.0,15.0,15.0,0.0,1.0,1.0,1.0,0.0,0.1158943188030797,0.1158943188030797,0.1158943188030797,0.0,1.65061281715383,1.65061281715383,1.65061281715383,0.0,6.0,6.0,6.0,0.0,-0.7955078147496052,-0.7955078147496052,-0.7955078147496052,0.0,-0.1851073838070163,-0.1851073838070163,-0.1851073838070163,0.0,-0.3535533905932738,-0.3535533905932738,-0.3535533905932738,0.0,-0.3870693672140189,-0.3870693672140189,-0.3870693672140189,0.0,-0.724568837309472,-0.724568837309472,-0.724568837309472,0.0,-0.7709736856715215,-0.7709736856715215,-0.7709736856715215,0.0,7.0,7.0,7.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,-0.4617860342193004,-0.4617860342193004,-0.4617860342193004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1158943188030797,0.1158943188030797,0.1158943188030797,0.0,-0.115536070604476,-0.115536070604476,-0.115536070604476,0.0,1.0,1.0,1.0,0.0,1.0,-1.000088900581841e-12
trivia_qa_53,42,0.0,84.0,84.0,"According to Rudyard Kipling's poem ""The White Man's Burden,"" the ""two imposters"" are Syce (the saddle-maker) and Corse (the corselet-maker). Kipling uses these characters as allegorical figures to convey the idea that the white man's task in managing and improving the colonies is as necessary and important as the work of these symbolic preparers for war.",0.0,0.0,-0.6741938019007522,0.9276721507179284,4.155770778656006,84.0,84.0,2.0,0.1997007773173929,1.930695199690881,7.0,-2.1242495397655943,2.046984225317308,0.6719508061240859,2.4054865382314743,1.620185174601965,1.5248167084093438,8.0,8.0,1.0,-0.5468107397717613,0.0307692307692307,0.5,0.0,0.0,0.0,0.1997007773173929,-0.1431484572639847,-0.6741938019007522,-0.6741938019007522,-0.6741938019007522,0.0,0.9276721507179284,0.9276721507179284,0.9276721507179284,0.0,4.155770778656006,4.155770778656006,4.155770778656006,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,2.0,2.0,2.0,0.0,0.1997007773173929,0.1997007773173929,0.1997007773173929,0.0,1.930695199690881,1.930695199690881,1.930695199690881,0.0,7.0,7.0,7.0,0.0,-2.1242495397655943,-2.1242495397655943,-2.1242495397655943,0.0,2.046984225317308,2.046984225317308,2.046984225317308,0.0,0.6719508061240859,0.6719508061240859,0.6719508061240859,0.0,2.4054865382314743,2.4054865382314743,2.4054865382314743,0.0,1.620185174601965,1.620185174601965,1.620185174601965,0.0,1.5248167084093438,1.5248167084093438,1.5248167084093438,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,1.0,1.0,1.0,0.0,-0.5468107397717613,-0.5468107397717613,-0.5468107397717613,0.0,0.0307692307692307,0.0307692307692307,0.0307692307692307,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1997007773173929,0.1997007773173929,0.1997007773173929,0.0,-0.1431484572639847,-0.1431484572639847,-0.1431484572639847,0.0,1.0,1.0,1.0,0.0,1.0,-1.000088900581841e-12
trivia_qa_53,43,0.0,43.0,43.0,"According to Rudyard Kipling's poem ""The White Man's Burden,"" the ""two imposters"" are Sybarite and Boche, representing the decadent and militaristic attitudes, respectively.",0.0,0.0,-0.3593168088035964,0.6270571747618497,5.963356971740723,43.0,43.0,1.0,0.1107165713423631,2.0736235789983284,8.0,-0.99801855327341,1.4710336562737014,2.1765135796172608,0.2801577628641106,0.0,-0.9915520878799492,7.0,8.0,1.0,-1.1010592579138532,0.0689655172413793,0.5,0.0,0.0,0.0,0.1107165713423631,-0.2285620624029674,-0.3593168088035964,-0.3593168088035964,-0.3593168088035964,0.0,0.6270571747618497,0.6270571747618497,0.6270571747618497,0.0,5.963356971740723,5.963356971740723,5.963356971740723,0.0,43.0,43.0,43.0,0.0,43.0,43.0,43.0,0.0,1.0,1.0,1.0,0.0,0.1107165713423631,0.1107165713423631,0.1107165713423631,0.0,2.0736235789983284,2.0736235789983284,2.0736235789983284,0.0,8.0,8.0,8.0,0.0,-0.99801855327341,-0.99801855327341,-0.99801855327341,0.0,1.4710336562737014,1.4710336562737014,1.4710336562737014,0.0,2.1765135796172608,2.1765135796172608,2.1765135796172608,0.0,0.2801577628641106,0.2801577628641106,0.2801577628641106,0.0,0.0,0.0,0.0,0.0,-0.9915520878799492,-0.9915520878799492,-0.9915520878799492,0.0,7.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,1.0,1.0,1.0,0.0,-1.1010592579138532,-1.1010592579138532,-1.1010592579138532,0.0,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1107165713423631,0.1107165713423631,0.1107165713423631,0.0,-0.2285620624029674,-0.2285620624029674,-0.2285620624029674,0.0,1.0,1.0,1.0,0.0,1.0,-1.000088900581841e-12
