question_id,qwen_sample0_correct,n_seeds,teacher_greedy_correct,teacher_latency_ms,teacher_completion_tokens,y_score,y_true
trivia_qa_0,0.0,2,0.0,3568.002700805664,62.0,0.999988317489624,0.0
trivia_qa_1,1.0,2,1.0,13230.318784713745,212.0,1.2474856703192929e-08,1.0
trivia_qa_10,0.0,2,0.0,3762.6514434814453,65.0,0.678932249546051,0.0
trivia_qa_100,0.0,2,1.0,10444.538831710815,180.0,0.0010991933522745,0.0
trivia_qa_101,1.0,2,1.0,6538.13362121582,113.0,0.9999209642410278,1.0
trivia_qa_102,0.5,2,1.0,5579.598426818848,79.0,0.7866954207420349,1.0
trivia_qa_103,0.0,2,0.0,14816.627264022827,256.0,0.1603928655385971,0.0
trivia_qa_104,0.0,2,1.0,2510.327100753784,44.0,0.3740262985229492,0.0
trivia_qa_105,1.0,2,1.0,5208.396673202515,91.0,0.8444061875343323,1.0
trivia_qa_106,0.0,2,0.0,10277.75263786316,179.0,5.845097295065216e-09,0.0
trivia_qa_107,0.0,2,1.0,4957.038402557373,86.0,0.1679212003946304,0.0
trivia_qa_108,1.0,2,1.0,3071.666479110718,48.0,1.0,1.0
trivia_qa_109,1.0,2,1.0,3995.48602104187,70.0,1.0,1.0
trivia_qa_11,0.0,2,0.0,4004.94647026062,69.0,0.962177276611328,0.0
trivia_qa_110,1.0,2,1.0,3492.4535751342773,61.0,1.0,1.0
trivia_qa_111,0.0,2,0.0,12659.581899642944,219.0,2.347771699273693e-10,0.0
trivia_qa_112,1.0,2,1.0,4490.407466888428,78.0,1.0,1.0
trivia_qa_113,0.0,2,0.0,5399.96600151062,94.0,1.9467507304544301e-13,0.0
trivia_qa_114,0.0,2,1.0,5732.791185379028,99.0,0.0003307739971205,0.0
trivia_qa_115,0.0,2,1.0,5678.82776260376,84.0,6.729060260113329e-07,0.0
trivia_qa_116,1.0,2,1.0,3419.886589050293,59.0,1.0,1.0
trivia_qa_117,1.0,2,1.0,3909.6362590789795,68.0,0.989990234375,1.0
trivia_qa_118,1.0,2,1.0,14646.14725112915,256.0,1.0,1.0
trivia_qa_119,0.0,2,0.0,11211.205244064331,176.0,8.327321054935053e-10,0.0
trivia_qa_12,1.0,2,1.0,4908.934593200684,66.0,1.0,1.0
trivia_qa_120,1.0,2,1.0,4077.18563079834,71.0,0.7749232053756714,1.0
